文章標題;作者;IP;國家
Re: [新聞] 為抹去“六四”記憶，中國做了什麼？;eereer12325;101.137.128.121;Taiwan
[臉書] 瓊瑤;medama;1.200.215.42;Taiwan
[問卦] 賀一航如果乖乖化療追蹤檢查?;ordonez;36.229.30.6;Taiwan
[新聞] 科學家首次偵測到其它恆星的日冕物質拋射;chenwii;1.162.174.173;Taiwan
[新聞] 若台海發生戰爭 陳破空：就是中共覆滅之;extemjin;61.230.197.39;Taiwan
[問卦] 華視跟公視現在要選哪個啊？;Juder;111.83.194.62;Taiwan
[問卦] TANK 城裡的月光 照亮什麼夢?;braai;137.205.1.160;United Kingdom
[問卦] 哪縣市的公車最好搭阿;lianpig5566;39.10.30.18;Taiwan
[問卦] 六四又不是習近平的鍋 他幹嘛要掩蓋;tok892xt7;1.160.57.87;Taiwan
Re: [問卦] 都2019年 還那麼迷信的八卦??;horen;110.50.141.204;Taiwan
[問卦] 有沒有Quickpick(快點網路點餐)的八卦;MgcnVanish;101.15.177.18;Taiwan
[問卦]當年64鄧北北是不是做了最好的決定;mikrangel;114.45.174.104;Taiwan
[新聞] 「走吧」！雄女畢業歌曲MV 觀眾驚艷：韓;pigoilstand;60.245.65.134;Taiwan
[問卦] 戰女的殞落是自己搞砸還是業界常態;ilovemami;117.19.172.48;Taiwan
[問卦] 交大APCS組是不是要成為主流推甄方式??;gofee;120.107.188.22;Taiwan
Re: [新聞] 六四事件 柯文哲：中國人殺中國人的悲劇;yang0623;36.226.114.12;Taiwan
[公告] 版規更新情報;XXXXGAY;118.165.116.55;Taiwan
