文章標題;作者;IP;國家
[問卦] 新訓合照要怎麼處理?;soul5566;61.231.44.194;Taiwan
[問卦] 筆電的WINDOWS是64位元會不會被攔?;malindorothy;112.104.97.125;Taiwan
[新聞] 影╱恢復18%？ 韓國瑜：沒講過的話別塞;xuein;223.137.165.200;Taiwan
[問卦] 今天六月四日大家最想要協尋誰？;TSMConduty;123.192.105.168;Taiwan
[問卦] 吃到玻璃會不會死啊;death123456;36.231.18.16;Taiwan
[爆卦] 香港蘋果日報打臉韓國瑜;TWN5566;114.136.145.36;Taiwan
[問卦] 有沒有藍宇的八卦？;harry901;36.231.230.87;Taiwan
Re: [新聞] 劊子手壓力大　法警請命盼死刑「槍決改注;tadshift2;27.242.75.128;Taiwan
Re: [問卦] 這兩天酸王柏融的魯蛇酸民怎麼渡過？;KingChang711;123.215.204.176;South Korea
[問卦] 蘿莉會模仿大人彈手指嗎？;SaintSeven;42.74.97.7;Taiwan
[公告] 版規更新情報;XXXXGAY;118.165.116.55;Taiwan
